,id,latitude,longitude,label
1,AHUMADA,-33.732,-70.735941,BUIN
2,BUIN,-33.729515,-70.739232,BUIN
3,CRUZ VERDE ,-33.733423,-70.737859,BUIN
4,EL ALBA,-33.761703,-70.735348,BUIN
5,PLAZA BUIN,-33.732228,-70.748244,BUIN
6,SALCOBRAND,-33.730963,-70.774937,BUIN
7,CALERA DE TANGO,-33.629789,-70.762771,CALERA DE TANGO
8,CRUZ VERDE,-33.573438,-70.768774,CALERA DE TANGO
9,AHUMADA,-33.518821,-70.707453,CERRILLOS
10,CRUZ VERDE,-33.515827,-70.71547,CERRILLOS
11,LA FE,-33.504598,-70.71962,CERRILLOS
12,VILLA MEXICO,-33.509773,-70.731929,CERRILLOS
13,SALCOBRAND,-33.515049,-70.717181,CERRILLOS
14,DAVIFAR,-33.429131,-70.726508,CERRO NAVIA
15,LAS TORRES,-33.428999,-70.730842,CERRO NAVIA
16,SANTO THOMAS,-33.429812,-70.740262,CERRO NAVIA
17,SILVA ,-33.416828,-70.75024,CERRO NAVIA
18,LA UNION ,-33.416666,-70.756012,CERRO NAVIA
19,NEPTUNO,-33.430582,-70.720156,CERRO NAVIA
20,AHUMADA,-33.285167,-70.680634,COLINA
21,AHUMADA,-33.276682,-70.628112,COLINA
22,AHUMADA,-33.20679,-70.677604,COLINA
23,BELEN,-33.201996,-70.673851,COLINA
24,CRUZ VERDE,-33.204402,-70.676177,COLINA
25,CRUZ VERDE,-33.206653,-70.67745,COLINA
26,NUEVA REAL,-33.204546,-70.675481,COLINA
27,SAN MARTIN,-33.204707,-70.675653,COLINA
28,SALCOBRAND,-33.28584,-70.675528,COLINA
29,SALCOBRAND,-33.286342,-70.675789,COLINA
30,AHUMADA,-33.391512,-70.675618,CONCHALI
31,AHUMADA,-33.371545,-70.671232,CONCHALI
32,BELEN,-33.369164,-70.688358,CONCHALI
33,BELEN,-33.396802,-70.670782,CONCHALI
34,BELEN,-33.384673,-70.680374,CONCHALI
35,CRUZ VERDE,-33.373601,-70.681658,CONCHALI
36,CRUZ VERDE,-33.395801,-70.671745,CONCHALI
37,CRUZ VERDE ,-33.384684,-70.680084,CONCHALI
38,CRUZ VERDE,-33.402767,-71.129139,CURACAVI
39,CURACAVI,-33.40257,-71.129915,CURACAVI
40,EL SOL,-33.404934,-71.135298,CURACAVI
41,AHUMADA,-33.54579,-70.667759,EL BOSQUE
42,ALAMEDA,-33.561121,-70.670763,EL BOSQUE
43,BELEN,-33.58241,-70.676809,EL BOSQUE
44,BELEN,-33.582698,-70.676898,EL BOSQUE
45,SALUD/CANAIMA,-33.55352,-70.660676,EL BOSQUE
46,CRUZ VERDE,-33.55402,-70.675009,EL BOSQUE
47,CRUZ VERDE,-33.55014,-70.671941,EL BOSQUE
48,CRUZ VERDE ,-33.574529,-70.690897,EL BOSQUE
49,LOS MAQUIS,-33.561361,-70.663524,EL BOSQUE
50,SALCOBRAND,-33.545401,-70.668164,EL BOSQUE
51,AHUMADA,-33.457041,-70.70509,ESTACION CENTRAL
52,AHUMADA,-33.452695,-70.69151,ESTACION CENTRAL
53,BELGO CHILENA,-33.453930,-70.687752,ESTACION CENTRAL
54,CARRERA,-33.471008,-70.692411,ESTACION CENTRAL
55,CRUZ VERDE,-33.451139,-70.679883,ESTACION CENTRAL
56,CRUZ VERDE,-33.453339,-70.687819,ESTACION CENTRAL
57,CRUZ VERDE,-33.467564,-70.729965,ESTACION CENTRAL
58,CRUZ VERDE,-33.453006,-70.680365,ESTACION CENTRAL
59,DEL DR. SIMI ,-33.454199,-70.692347,ESTACION CENTRAL
60,ELENA,-33.465727,-70.708569,ESTACION CENTRAL
61,PURA SALUD,-33.461825,-70.698417,ESTACION CENTRAL
62,SALCOBRAND,-33.450755,-70.679185,ESTACION CENTRAL
63,SALCOBRAND,-33.451979,-70.682283,ESTACION CENTRAL
64,SALCOBRAND,-33.453151,-70.687245,ESTACION CENTRAL
65,SALCOBRAND,-33.453167,-70.68039,ESTACION CENTRAL
66,SALCOBRAND,-33.451101,-70.679644,ESTACION CENTRAL
67,SALCOBRAND,-33.368062,-70.678301,HUECHURABA
68,SALCOBRAND,-33.368062,-70.678301,HUECHURABA
69,AHUMADA,-33.368062,-70.678301,HUECHURABA
70,AHUMADA ,-33.351179,-70.670396,HUECHURABA
71,CRUZ VERDE,-33.36799,-70.678378,HUECHURABA
72,CRUZ VERDE,-33.347738,-70.670353,HUECHURABA
73,FARMAVIDA ,-33.376326,-70.637787,HUECHURABA
74,SALCOBRAND,-33.348222,-70.670417,HUECHURABA
75,MEDDICA,-33.41751,-70.656496,INDEPENDENCIA
76,CRUZ VERDE,-33.406802,-70.660646,INDEPENDENCIA
77,CRUZ VERDE,-33.419606,-70.663331,INDEPENDENCIA
78,CRUZ VERDE ,-33.420034,-70.655933,INDEPENDENCIA
79,MAESTRE,-33.414275,-70.678147,INDEPENDENCIA
80,NOVOA,-33.408777,-70.671801,INDEPENDENCIA
81,SANTA LAURA,-33.405615,-70.660912,INDEPENDENCIA
82,VALLE DE VIDA,-33.407093,-70.660249,INDEPENDENCIA
83,ECUANASER,-33.745037,-70.864777,ISLA DE MAIPO
84,ECUANASER,-33.754429,-70.900940,ISLA DE MAIPO
85,FARMAMARKET,-33.756367,-70.896568,ISLA DE MAIPO
86,SALCOBRAND,-33.538005,-70.664369,LA CISTERNA
87,AHUMADA,-33.538335,-70.663864,LA CISTERNA
88,AHUMADA,-33.52358,-70.660504,LA CISTERNA
89,BELEN,-33.5358487,-70.66409249999998,LA CISTERNA
90,CRUZ VERDE,-33.538403,-70.664446,LA CISTERNA
91,DEL DR. SIMI ,-33.5378,-70.663723,LA CISTERNA
92,DEL DR. SIMI ,-33.527418,-70.661756,LA CISTERNA
93,MARTINEZ  ACUNA,-33.54348,-70.666708,LA CISTERNA
94,SALCOBRAND,-33.518528,-70.659275,LA CISTERNA
95,MANRIQUEZ,-33.523955,-70.660611,LA CISTERNA
96,SALCOBRAND,-33.538229,-70.664881,LA CISTERNA
97,AHUMADA,-33.511522,-70.590659,LA FLORIDA
98,AHUMADA,-33.51988985915592,-70.59560333596801,LA FLORIDA
99,AHUMADA,-33.516006,-70.5976,LA FLORIDA
100,AHUMADA,-33.543243,-70.570288,LA FLORIDA
101,AHUMADA,-33.535917,-70.555482,LA FLORIDA
102,AHUMADA,-33.545723,-70.569232,LA FLORIDA
103,AHUMADA,-33.510377,-70.608662,LA FLORIDA
104,AHUMADA,-33.511162,-70.608098,LA FLORIDA
105,AHUMADA,-33.515655,-70.606581,LA FLORIDA
106,AHUMADA,-33.535135,-70.593341,LA FLORIDA
107,AHUMADA,-33.543827,-70.58935,LA FLORIDA
108,AHUMADA,-33.519608,-70.602804,LA FLORIDA
109,AHUMADA,-33.522524,-70.579158,LA FLORIDA
110,BELEN,-33.522497,-70.574622,LA FLORIDA
111,C.A.,-33.539579,-70.603521,LA FLORIDA
112,CRUZ VERDE,-33.522077,-70.597461,LA FLORIDA
113,CRUZ VERDE,-33.539606,-70.583173,LA FLORIDA
114,CRUZ VERDE,-33.539997,-70.571672,LA FLORIDA
115,CRUZ VERDE,-33.55396,-70.602718,LA FLORIDA
116,CRUZ VERDE,-33.534741,-70.554336,LA FLORIDA
117,CRUZ VERDE,-33.526927,-70.596404,LA FLORIDA
118,CRUZ VERDE,-33.553512,-70.586767,LA FLORIDA
119,CRUZ VERDE,-33.510715,-70.608632,LA FLORIDA
120,CRUZ VERDE,-33.51926,-70.600275,LA FLORIDA
121,CRUZ VERDE,-33.51926,-70.600275,LA FLORIDA
122,CRUZ VERDE,-33.546543,-70.588089,LA FLORIDA
123,CRUZ VERDE,-33.510449,-70.608448,LA FLORIDA
124,CRUZ VERDE,-33.522345,-70.579265,LA FLORIDA
125,DEL DR. SIMI ,-33.521946,-70.579651,LA FLORIDA
126,FARMA SUR,-33.560976,-70.610744,LA FLORIDA
127,JUMBO,-33.511162,-70.608098,LA FLORIDA
128,REDFARMA,-33.518724,-70.600416,LA FLORIDA
129,REY FARMA,-33.557606,-70.59041,LA FLORIDA
130,ROSARIO,-33.535457,-70.603641,LA FLORIDA
131,ROTONDA  LA FLORIDA,-33.520682,-70.600015,LA FLORIDA
132,SU FARMA,-33.559242,-70.55976,LA FLORIDA
133,SALCOBRAND,-33.547833,-70.568365,LA FLORIDA
134,SALCOBRAND,-33.535564,-70.573944,LA FLORIDA
135,SALCOBRAND,-33.560726,-70.585402,LA FLORIDA
136,SALCOBRAND,-33.510688,-70.608514,LA FLORIDA
137,SALCOBRAND,-33.514212,-70.608076,LA FLORIDA
138,SALCOBRAND,-33.539481,-70.59156,LA FLORIDA
139,CRUZ VERDE,-33.550386,-70.617838,LA GRANJA
140,LOS PALTOS,-33.549518,-70.625259,LA GRANJA
141,LOS PALTOS,-33.555958,-70.623943,LA GRANJA
142,ESPOZ,-33.541513,-70.634116,LA GRANJA
143,CORDILLERA,-33.556595,-70.645634,LA PINTANA
144,CRUZ VERDE,-33.605702,-70.626815,LA PINTANA
145,FARMA SUR,-33.581962,-70.657895,LA PINTANA
146,SUR ,-33.556434,-70.645119,LA PINTANA
147,SALCOBRAND,-33.582752,-70.631836,LA PINTANA
148,AHUMADA,-33.428451,-70.540534,LA REINA
149,AHUMADA,-33.462165,-70.547272,LA REINA
150,AHUMADA ,-33.430313,-70.555769,LA REINA
151,AHUMADA ,-33.438801,-70.557014,LA REINA
152,AHUMADA ,-33.452498,-70.561026,LA REINA
153,LA REINA,-33.451793,-70.555594,LA REINA
154,SALCOBRAND,-33.438685,-70.560922,LA REINA
155,SALCOBRAND,-33.441254,-70.535856,LA REINA
156,AHUMADA ,-33.44052,-70.543281,LA REINA
157,CRUZ VERDE,-33.441344,-70.536114,LA REINA
158,CRUZ VERDE ,-33.356144,-70.51721,LO BARNECHEA
159,SALCOBRAND,-33.452677,-70.56197,LA REINA
160,SALCOBRAND ,-33.438908,-70.557142,LA REINA
161,SALCOBRAND,-33.441182,-70.543302,LA REINA
162,BELEN,-33.231773,-70.807404,LAMPA
163,BELEN,-33.287867,-70.871476,LAMPA
164,LETICIA,-33.284891,-70.877341,LAMPA
165,SU FARMACIA S.A.,-33.294326,-70.867519,LAMPA
166,SALCOBRAND ,-33.324002,-70.745991,LAMPA
167,SALCOBRAND,-33.425986,-70.577036,LAS CONDES
168,SALCOBRAND,-33.416492,-70.595146,LAS CONDES
169,SALCOBRAND,-33.41278,-70.581016,LAS CONDES
170,SALCOBRAND,-33.410738,-70.573879,LAS CONDES
171,SALCOBRAND,-33.409386,-70.569378,LAS CONDES
172,SALCOBRAND,-33.423788,-70.580627,LAS CONDES
173,SALCOBRAND,-33.416613,-70.565058,LAS CONDES
174,SALCOBRAND,-33.418207,-70.552336,LAS CONDES
175,SALCOBRAND,-33.416469,-70.554331,LAS CONDES
176,AHUMADA,-33.384242,-70.533968,LAS CONDES
177,AHUMADA,-33.395619,-70.549053,LAS CONDES
178,AHUMADA,-33.401531,-70.56049,LAS CONDES
179,AHUMADA,-33.386052,-70.531178,LAS CONDES
180,AHUMADA,-33.424932,-70.550758,LAS CONDES
181,AHUMADA,-33.400958,-70.514375,LAS CONDES
182,AHUMADA,-33.401253,-70.517153,LAS CONDES
183,AHUMADA,-33.401145,-70.514333,LAS CONDES
184,AHUMADA ,-33.41878,-70.572098,LAS CONDES
185,AHUMADA ,-33.376502,-70.525642,LAS CONDES
186,CRUZ VERDE,-33.423851,-70.578522,LAS CONDES
187,CRUZ VERDE,-33.416089,-70.593258,LAS CONDES
188,CRUZ VERDE,-33.409177,-70.567914,LAS CONDES
189,CRUZ VERDE,-33.408266,-70.553483,LAS CONDES
190,CRUZ VERDE,-33.401262,-70.523223,LAS CONDES
191,CRUZ VERDE,-33.41668,-70.564999,LAS CONDES
192,CRUZ VERDE,-33.43126,-70.578745,LAS CONDES
193,CRUZ VERDE,-33.428769,-70.540587,LAS CONDES
194,CRUZ VERDE,-33.384402,-70.529446,LAS CONDES
195,CRUZ VERDE,-33.417584,-70.552786,LAS CONDES
196,CRUZ VERDE,-33.401473,-70.560305,LAS CONDES
197,CRUZ VERDE,-33.401871,-70.580534,LAS CONDES
198,CRUZ VERDE,-33.388784,-70.545276,LAS CONDES
199,CRUZ VERDE,-33.388784,-70.545276,LAS CONDES
200,CRUZ VERDE,-33.388793,-70.545233,LAS CONDES
201,DEL DR. SIMI ,-33.413942,-70.583546,LAS CONDES
202,LA DEHESA,-33.351513,-70.510453,LO BARNECHEA
203,SALCOBRAND,-33.423777,-70.538633,LAS CONDES
204,SALCOBRAND,-33.431271,-70.578737,LAS CONDES
205,SALCOBRAND,-33.428728,-70.540595,LAS CONDES
206,SALCOBRAND,-33.390101,-70.49899,LAS CONDES
207,SALCOBRAND,-33.373666,-70.519669,LAS CONDES
208,SALCOBRAND,-33.367972,-70.500964,LAS CONDES
209,SALCOBRAND,-33.398228,-70.551397,LAS CONDES
210,SALCOBRAND,-33.392287,-70.514933,LAS CONDES
211,SALCOBRAND,-33.405257,-70.568665,LAS CONDES
212,SALCOBRAND,-33.40377,-70.569,LAS CONDES
213,SALCOBRAND,-33.4245,-70.592566,LAS CONDES
214,SALCOBRAND,-33.41604,-70.539075,LAS CONDES
215,SALCOBRAND,-33.409332,-70.544350,LAS CONDES
216,SALCOBRAND,-33.38882,-70.545284,LAS CONDES
217,SALCOBRAND,-33.408472,-70.551813,LAS CONDES
218,SALCOBRAND ,-33.394043,-70.545963,LAS CONDES
219,SALCOBRAND,-33.358348,-70.517145,LO BARNECHEA
220,AHUMADA,-33.344178,-70.544609,LO BARNECHEA
221,AHUMADA,-33.353025,-70.520621,LO BARNECHEA
222,AHUMADA,-33.362883,-70.514956,LO BARNECHEA
223,CRUZ VERDE,-33.355517,-70.537916,LO BARNECHEA
224,CRUZ VERDE,-33.358008,-70.517016,LO BARNECHEA
225,VITA,-33.357631,-70.506598,LO BARNECHEA
226,SALCOBRAND,-33.35221,-70.518806,LO BARNECHEA
227,SALCOBRAND,-33.351484,-70.510665,LO BARNECHEA
228,SALCOBRAND,-33.355194,-70.532187,LO BARNECHEA
229,FARMAR,-33.506327,-70.69199,LO ESPEJO
230,LA FE,-33.519716,-70.69593,LO ESPEJO
231,L-V,-33.508946,-70.686296,LO ESPEJO
232,AHUMADA,-33.444907,-70.723416,LO PRADO
233,CRUZ VERDE,-33.457708,-70.711831,LO PRADO
234,CRUZ VERDE,-33.456902,-70.705629,LO PRADO
235,LAS ROSAS ,-33.45717,-70.705887,LO PRADO
236,SALCOBRAND,-33.457153,-70.706123,LO PRADO
237,SALCOBRAND,-33.444083,-70.722624,LO PRADO
238,SALCOBRAND,-33.485628,-70.599306,MACUL
239,AHUMADA,-33.474337,-70.598792,MACUL
240,AHUMADA,-33.477933,-70.599040,MACUL
241,AHUMADA,-33.491661,-70.617414,MACUL
242,CRUZ VERDE,-33.480686,-70.599312,MACUL
243,CRUZ VERDE,-33.491518,-70.599723,MACUL
244,DEL DR. SIMI ,-33.485057,-70.599336,MACUL
245,SALCOBRAND,-33.510502,-70.757643,MAIPU
246,SALCOBRAND,-33.481847,-70.753649,MAIPU
247,SALCOBRAND,-33.481149,-70.754035,MAIPU
248,SALCOBRAND,-33.542137,-70.771024,MAIPU
249,AHUMADA,-33.560708,-70.780705,MAIPU
250,AHUMADA,-33.481847,-70.753649,MAIPU
251,AHUMADA,-33.510738,-70.757381,MAIPU
252,AHUMADA,-33.50288,-70.757278,MAIPU
253,AHUMADA,-33.481442,-70.745228,MAIPU
254,AHUMADA,-33.506046,-70.757480,MAIPU
255,AHUMADA ,-33.531558,-70.775088,MAIPU
256,ALMENDRA,-33.489442,-70.774272,MAIPU
257,BELEN,-33.507479,-70.784079,MAIPU
258,BELEN,-33.488435,-70.742558,MAIPU
259,APOTHEKE,-33.51232,-70.775493,MAIPU
260,CRUZ VERDE,-33.559993,-70.7844,MAIPU
261,CRUZ VERDE,-33.531915,-70.775603,MAIPU
262,CRUZ VERDE,-33.481847,-70.753649,MAIPU
263,CRUZ VERDE,-33.480565,-70.754106,MAIPU
264,CRUZ VERDE,-33.471974,-70.759642,MAIPU
265,CRUZ VERDE,-33.513669,-70.826522,MAIPU
266,CRUZ VERDE,-33.496314,-70.757549,MAIPU
267,CRUZ VERDE,-33.506799,-70.757471,MAIPU
268,CRUZ VERDE,-33.554432,-70.795816,MAIPU
269,CRUZ VERDE,-33.4398441,-70.55565960000001,LA REINA
270,DEL PARQUE,-33.558795,-70.789529,MAIPU
271,ECONOFARMA,-33.489639,-70.766376,MAIPU
272,EXPRESS,-33.528159,-70.767318,MAIPU
273,MEBAL,-33.510064,-70.775509,MAIPU
274,MEVIC,-33.52235,-70.796797,MAIPU
275,MEVIC,-33.542754,-70.777843,MAIPU
276,VIDA SALUD,-33.513329,-70.756999,MAIPU
277,SU FARMACIA ,-33.501216,-70.741035,MAIPU
278,NETFARMA,-33.495531,-70.736547,MAIPU
279,AHUMADA,-33.68064,-71.208747,MELIPILLA
280,CRUZ VERDE,-33.686111,-71.214668,MELIPILLA
281,CRUZ VERDE,-33.684917,-71.213814,MELIPILLA
282,EKONOFARMA ,-33.685574,-71.215179,MELIPILLA
283,REDONDO,-33.690830,-71.215614,MELIPILLA
284,SERRANO ,-33.691460,-71.215843,MELIPILLA
285,SALCOBRAND,-33.686211,-71.213768,MELIPILLA
286,SALCOBRAND ,-33.686588,-71.215347,MELIPILLA
287,AHUMADA,-33.450135,-70.621558,NUNOA
288,AHUMADA,-33.465888,-70.588277,NUNOA
289,SALCOBRAND,-33.446473,-70.611272,NUNOA
290,SALCOBRAND,-33.455188,-70.609099,NUNOA
291,SALCOBRAND,-33.449477,-70.597856,NUNOA
292,SALCOBRAND,-33.455452,-70.586945,NUNOA
293,SALCOBRAND,-33.456271,-70.613901,NUNOA
294,SALCOBRAND,-33.464984,-70.598226,NUNOA
295,AHUMADA,-33.455027,-70.60908,NUNOA
296,AHUMADA,-33.455309,-70.627108,NUNOA
297,AHUMADA,-33.454507,-70.600608,NUNOA
298,AHUMADA,-33.445605,-70.606138,NUNOA
299,AHUMADA,-33.448273,-70.580555,NUNOA
300,AHUMADA,-33.447789,-70.597547,NUNOA
301,CRUZ VERDE,-33.448329,-70.610647,NUNOA
302,CRUZ VERDE,-33.448564,-70.580705,NUNOA
303,CRUZ VERDE,-33.455765,-70.626106,NUNOA
304,CRUZ VERDE,-33.453053,-70.615452,NUNOA
305,CRUZ VERDE,-33.454342,-70.602297,NUNOA
306,CRUZ VERDE,-33.455219,-70.593017,NUNOA
307,CRUZ VERDE,-33.454494,-70.579021,NUNOA
308,CRUZ VERDE,-33.465302,-70.598239,NUNOA
309,CRUZ VERDE,-33.45816,-70.598017,NUNOA
310,CRUZ VERDE,-33.442758,-70.572611,NUNOA
311,CRUZ VERDE,-33.445565,-70.606112,NUNOA
312,CRUZ VERDE,-33.455649,-70.605221,NUNOA
313,CRUZ VERDE,-33.434033,-70.582342,NUNOA
314,INSTITUCIONAL,-33.453256,-70.591758,NUNOA
315,REDOXX,-33.462935,-70.620185,NUNOA
316,SALCOBRAND,-33.454772,-70.627526,NUNOA
317,SANTA  GEMITA,-33.454762,-70.599854,NUNOA
318,SALCOBRAND,-33.448165,-70.600672,NUNOA
319,SAN JUAN ,-33.569701,-70.815772,PADRE HURTADO
320,FARMAMARKET,-33.568003,-70.808887,PADRE HURTADO
321,CRUZ VERDE,-33.813498,-70.743019,PAINE
322,PLAZA PAINE,-33.809498,-70.738717,PAINE
323,CRUZ VERDE,-33.478816,-70.663113,PEDRO AGUIRRE CERDA
324,CRUZ VERDE,-33.502505,-70.667851,PEDRO AGUIRRE CERDA
325,IDAHUE,-33.478489,-70.672005,PEDRO AGUIRRE CERDA
326,LA BOTIKA,-33.502397,-70.690115,PEDRO AGUIRRE CERDA
327,FARMA-MARKET,-33.610554,-70.873439,PENAFLOR
328,AHUMADA,-33.607203,-70.899843,PENAFLOR
329,CRUZ VERDE,-33.606915,-70.854744,PENAFLOR
330,CRUZ VERDE,-33.61071,-70.880887,PENAFLOR
331,CRUZ VERDE ,-33.60872,-70.900199,PENAFLOR
332,CRUZ VERDE ,-33.607217,-70.899797,PENAFLOR
333,MALLOCO,-33.604735,-70.852638,PENAFLOR
334,SAN JUAN,-33.609133,-70.900701,PENAFLOR
335,SALCOBRAND,-33.479232,-70.545225,PENALOLEN
336,SALCOBRAND,-33.468936,-70.575921,PENALOLEN
337,SALCOBRAND,-33.486668,-70.579823,PENALOLEN
338,AHUMADA,-33.484731,-70.579397,PENALOLEN
339,AHUMADA,-33.487957,-70.54916,PENALOLEN
340,AHUMADA,-33.486444,-70.557757,PENALOLEN
341,AHUMADA ,-33.484198,-70.558365,PENALOLEN
342,BELEN,-33.506258,-70.579184,PENALOLEN
343,CRUZ VERDE,-33.485825,-70.579606,PENALOLEN
344,CRUZ VERDE,-33.475988,-70.54338,PENALOLEN
345,CRUZ VERDE,-33.4864,-70.557735,PENALOLEN
346,CRUZ VERDE,-33.486668,-70.579823,PENALOLEN
347,CRUZ VERDE,-33.472261,-70.55461,PENALOLEN
348,CRUZ VERDE,-33.483805,-70.547014,PENALOLEN
349,DEL DR. SIMI ,-33.4714531,-70.54151389999998,PENALOLEN
350,DEL DR. SIMI ,-33.469629,-70.574566,PENALOLEN
351,DEL DR. SIMI ,-33.502822,-70.561093,PENALOLEN
352,EL VALLE,-33.476053,-70.573552,PENALOLEN
353,MEDDICA,-33.472427,-70.538437,PENALOLEN
354,GENNETIKA,-33.472340,-70.538712,PENALOLEN
355,GALLARDO,-33.477724,-70.572401,PENALOLEN
356,LA BOTIKA,-33.507497,-70.568472,PENALOLEN
357,SALCOBRAND,-33.487541,-70.558636,PENALOLEN
358,SALCOBRAND ,-33.489299,-70.549871,PENALOLEN
359,SALCOBRAND,-33.634483,-70.570314,PIRQUE
360,SALCOBRAND,-33.429187,-70.61886,PROVIDENCIA
361,SALCOBRAND,-33.417618,-70.608246,PROVIDENCIA
362,SALCOBRAND,-33.430206,-70.60277,PROVIDENCIA
